Date,Open,High,Low,Close,Adj Close,Volume
2022-07-19,44099.8984375,44370.0,43522.25,43750.8515625,43750.8515625,11102
2022-07-20,44099.5,44500.0,43667.6015625,43990.80078125,43990.80078125,10413
2022-07-21,44000.0,45385.0,43759.3984375,45126.5,45126.5,17165
2022-07-22,45130.3984375,46359.05078125,45100.0,45342.44921875,45342.44921875,14796
2022-07-25,45300.0,46200.0,45265.0,45616.80078125,45616.80078125,10650
2022-07-26,45675.6015625,46299.8984375,45616.80078125,46193.8984375,46193.8984375,9522
2022-07-27,46194.0,47400.0,46194.0,47257.3515625,47257.3515625,16941
2022-07-28,47500.0,48349.8984375,46931.19921875,47760.5,47760.5,37906
2022-07-29,47866.0,49135.6015625,47863.0,48873.0,48873.0,17420
2022-08-01,48911.0,49384.0,48600.0,49222.80078125,49222.80078125,15660
2022-08-02,49216.0,49849.94921875,48840.0,48987.5,48987.5,18097
2022-08-03,49108.6015625,49108.6015625,47500.0,48017.6015625,48017.6015625,21040
2022-08-04,48500.0,49234.0,47781.1484375,49026.69921875,49026.69921875,16953
2022-08-05,49000.05078125,49198.5,48048.0,48211.6015625,48211.6015625,9680
2022-08-08,48445.0,48727.94921875,48207.3984375,48627.1015625,48627.1015625,8967
