Date,Open,High,Low,Close,Adj Close,Volume
2022-04-27,7.0,7.0,7.0,7.0,7.0,8418
2022-04-28,7.349999904632568,7.349999904632568,7.349999904632568,7.349999904632568,7.349999904632568,26836
2022-04-29,7.699999809265137,7.699999809265137,7.0,7.0,7.0,61050
2022-05-02,6.650000095367432,6.900000095367432,6.650000095367432,6.650000095367432,6.650000095367432,15460
2022-05-04,6.349999904632568,6.650000095367432,6.349999904632568,6.349999904632568,6.349999904632568,14351
2022-05-05,6.349999904632568,6.599999904632568,6.050000190734863,6.150000095367432,6.150000095367432,15613
2022-05-06,6.449999809265137,6.449999809265137,5.849999904632568,6.050000190734863,6.050000190734863,30606
2022-05-09,5.949999809265137,6.300000190734863,5.800000190734863,6.199999809265137,6.199999809265137,13119
2022-05-10,6.5,6.5,6.0,6.050000190734863,6.050000190734863,35941
2022-05-11,6.300000190734863,6.300000190734863,5.800000190734863,6.199999809265137,6.199999809265137,29054
2022-05-12,6.449999809265137,6.449999809265137,5.900000095367432,5.900000095367432,5.900000095367432,10344
2022-05-13,6.099999904632568,6.150000095367432,5.699999809265137,6.150000095367432,6.150000095367432,19241
2022-05-16,6.400000095367432,6.400000095367432,6.0,6.150000095367432,6.150000095367432,4095
2022-05-17,6.449999809265137,6.449999809265137,6.300000190734863,6.449999809265137,6.449999809265137,2718
2022-05-18,6.449999809265137,6.75,6.449999809265137,6.699999809265137,6.699999809265137,3705
2022-05-19,6.699999809265137,7.0,6.550000190734863,6.949999809265137,6.949999809265137,8067
2022-05-20,7.25,7.25,6.699999809265137,6.900000095367432,6.900000095367432,8452
2022-05-23,6.650000095367432,7.199999809265137,6.599999904632568,6.800000190734863,6.800000190734863,8831
2022-05-24,6.800000190734863,7.050000190734863,6.5,6.650000095367432,6.650000095367432,13947
2022-05-25,6.949999809265137,6.949999809265137,6.349999904632568,6.650000095367432,6.650000095367432,5354
2022-05-26,6.349999904632568,6.650000095367432,6.349999904632568,6.349999904632568,6.349999904632568,1289
2022-05-27,6.550000190734863,6.650000095367432,6.050000190734863,6.150000095367432,6.150000095367432,57957
2022-05-30,6.400000095367432,6.449999809265137,6.099999904632568,6.449999809265137,6.449999809265137,7500
2022-05-31,6.599999904632568,6.75,6.199999809265137,6.699999809265137,6.699999809265137,16091
2022-06-01,7.0,7.0,6.550000190734863,6.650000095367432,6.650000095367432,11920
2022-06-02,6.5,6.949999809265137,6.449999809265137,6.849999904632568,6.849999904632568,9284
2022-06-03,7.099999904632568,7.150000095367432,6.849999904632568,6.900000095367432,6.900000095367432,8324
2022-06-06,7.150000095367432,7.150000095367432,6.599999904632568,6.75,6.75,7675
2022-06-07,6.900000095367432,6.900000095367432,6.25,6.650000095367432,6.650000095367432,9937
2022-06-08,6.349999904632568,7.300000190734863,6.349999904632568,7.300000190734863,7.300000190734863,66539
2022-06-09,7.800000190734863,8.0,7.75,8.0,8.0,21082
2022-06-10,8.699999809265137,8.800000190734863,8.699999809265137,8.800000190734863,8.800000190734863,17004
2022-06-13,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,12332
